,Unnamed: 0,user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions,american,european,other_continent
98,107,1140250926515,3,2021-03-13T17:25:04.893Z,5e1f158a3e33582402807d9f,female,21,Polish,4,cmedium,healthy,"vegetables,lweight",none,0,European,0
99,108,715607070683,3,2021-03-13T17:25:14.407Z,5bb2677fd8afe200018d0afc,male,42,American,4,chigh,neutral,lweight,none,American,0,0
100,109,1298964631185,3,2021-03-13T17:25:23.989Z,5e89e89bf025be000c01eead,male,22,Polish,3,clow,neutral,none,none,0,European,0
101,110,1299698116635,3,2021-03-13T17:25:06.254Z,60416f304233791437bfac5b,female,22,Polish,4,chigh,healthy,"protein,salt,fruit,vegetables",none,0,European,0
102,111,592960022425,3,2021-03-13T17:25:21.359Z,5e21d038f4dbbd4b8d23ac41,female,23,Polish,3,cmedium,unhealthy,"vegetables,lweight",none,0,European,0
103,112,1614694409187,3,2021-03-13T17:25:35.829Z,56e49e3b44b18400058937f7,male,44,Canadian,3,cverylow,neutral,none,none,0,0,Other
104,113,163364465134,3,2021-03-13T17:25:40.634Z,5baf06d756161d0001fe6dde,male,30,Spanish,4,chigh,vunhealthy,"protein,fruit,vegetables,lweight",none,0,European,0
105,114,1446937185955,3,2021-03-13T17:25:29.921Z,5e5d66f2101bf703d65326bc,male,19,Hungarian,2,cverylow,healthy,gweight,none,0,European,0
106,115,1422339553362,3,2021-03-13T17:25:05.266Z,60119a8bd146960ea1f6a5e2,male,20,Polish,2,cmedium,healthy,protein,none,0,European,0
107,116,713510323069,3,2021-03-13T17:25:54.061Z,6027a9db556222222b5668e7,male,20,polish,2,cmedium,vhealhty,gweight,none,0,European,0
108,117,1173798429774,3,2021-03-13T17:26:00.052Z,5faad91b0eed544e126d91b4,female,19,polish,2,chigh,neutral,"protein,fruit,vegetables,lweight",vegan,0,European,0
109,118,1133809234228,3,2021-03-13T17:25:36.739Z,5fc6257646ef5201d82dbb55,female,20,polish,3,cmedium,healthy,"fruit,vegetables,gweight",none,0,European,0
110,119,1359318205664,3,2021-03-13T17:26:31.956Z,5a614db535f26b000148fdf6,male,31,UK,2,cmedium,healthy,none,none,0,0,Other
111,120,1539518949220,3,2021-03-13T17:26:05.865Z,5e42e7539463ce0461a7d373,male,45,Polish,6,cmedium,neutral,none,none,0,European,0
112,121,1177101611814,3,2021-03-13T17:25:22.053Z,5e0c83fb24f939439514d5d6,female,22,Polish,2,cmedium,neutral,fruit,none,0,European,0
113,123,1010000811467,3,2021-03-13T17:29:49.838Z,5f455a58bddcf21312436c1d,female,31,Spanish,5,chigh,healthy,"protein,vegetables,lweight",none,0,European,0
114,124,1171492776718,3,2021-03-13T17:30:41.200Z,5ed2ae88ec79fd22e3a9a4f6,male,23,Portuguese,3,cmedium,healthy,gweight,none,0,European,0
115,125,607201712673,3,2021-03-13T17:29:52.073Z,603dccb9ca68cfcc9924e86c,female,21,Polish,3,cmedium,neutral,lweight,none,0,European,0
116,127,1429375291070,3,2021-03-13T17:32:15.069Z,60055b5db602617648c4c650,female,22,Portuguese,3,cmedium,healthy,lweight,none,0,European,0
117,128,618703324128,3,2021-03-13T17:32:03.339Z,59eb8c106100f9000194aa47,male,24,Polish,4,cmedium,healthy,lweight,none,0,European,0
118,129,488109220616,3,2021-03-13T17:39:31.098Z,5c56059aa469aa0001660cb6,female,34,Polish,2,chigh,healthy,"fruit,vegetables,lweight",none,0,European,0
119,130,474149888014,3,2021-03-13T18:00:48.758Z,5f91f177341c570e9e182a63,female,27,Polish,4,cmedium,unhealthy,lweight,none,0,European,0
120,131,1169242293287,3,2021-03-13T18:27:54.984Z,5fd105d3a30efb0173fe5486,male,20,Polish,3,cmedium,healthy,none,none,0,European,0
121,136,848202446098,3,2021-03-21T13:11:26.206Z,,male,43,american,2,cmedium,healthy,"fruit,vegetables",none,0,0,Other
122,137,825589652066,3,2021-03-21T13:11:28.291Z,,male,52,American,2,cveryhigh,healthy,none,none,American,0,0
123,138,1218395969690,3,2021-03-21T13:11:55.198Z,,male,70,American,5,cverylow,unhealthy,"salt,lweight",,American,0,0
124,139,379997714785,3,2021-03-21T13:11:54.785Z,,female,38,American,3,cveryhigh,vunhealthy,"protein,fruit,vegetables",vegan,American,0,0
125,140,927296448731,3,2021-03-21T13:12:13.773Z,,female,64,American,4,cmedium,neutral,lweight,none,American,0,0
126,145,320617346791,3,2021-03-21T13:14:19.608Z,,male,52,American,3,cmedium,healthy,lweight,none,American,0,0
127,146,235463706849,3,2021-03-21T13:14:06.931Z,,male,35,American,3,cveryhigh,vhealhty,none,vegan,American,0,0
128,147,1573459642957,3,2021-03-21T13:14:59.815Z,,female,49,usa,3,cmedium,neutral,none,none,0,0,Other
129,149,878753304338,3,2021-03-21T13:12:06.790Z,,male,60,American,2,cveryhigh,healthy,"fruit,vegetables",none,American,0,0
130,150,1534127464063,3,2021-03-21T13:15:55.039Z,,female,62,American,5,cmedium,vhealhty,lweight,none,American,0,0
131,151,22759750955,3,2021-03-21T13:16:45.685Z,,male,33,American,3,cmedium,neutral,none,none,American,0,0
132,152,93450182952,3,2021-03-21T13:17:57.732Z,,male,26,American,4,cmedium,neutral,lweight,none,American,0,0
133,154,1305306256990,3,2021-03-21T13:18:13.267Z,,female,52,American,3,cverylow,vunhealthy,"protein,fruit,vegetables,lweight",none,American,0,0
134,155,368351770318,3,2021-03-21T13:20:05.171Z,,male,51,American,3,chigh,neutral,vegetables,none,American,0,0
135,156,1298024617548,3,2021-03-21T13:20:37.100Z,,female,62,American,2,chigh,neutral,lweight,none,American,0,0
136,157,362091975559,3,2021-03-21T13:20:44.603Z,,male,42,American,3,cmedium,unhealthy,lweight,none,American,0,0
137,158,176199319703,3,2021-03-21T13:22:10.859Z,,female,26,American,4,cmedium,neutral,none,none,American,0,0
138,159,747415237183,3,2021-03-21T13:25:58.064Z,,female,51,American,2,chigh,neutral,none,allergies,American,0,0
139,160,1188827276577,3,2021-03-21T13:25:27.506Z,,female,61,AMERICAN,2,cmedium,healthy,lweight,,0,0,Other
